"ENG.PRODUCAO 4","EQUI0076 - PRINCÍPIOS BÁSICOS DA INDÚSTRIA QUÍMICA",2,50,
"ENG.PRODUCAO 4","EQUI0099 - FENÔMENOS DE TRANSPORTE I",2,50,
"ENG.PRODUCAO 5","ENMEC0108 - METROLOGIA",2,50,
"ENG.PRODUCAO 5","ENMEC0133 - PROCESSOS DE FABRICAÇÃO II",2,50,
"ENG.PRODUCAO 6","EPROD0018 - ENGENHARIA DE QUALIDADE I",2,50,
"ENG.PRODUCAO 6","EPROD0023 - ERGONOMIA",2,50,
"ENG.PRODUCAO 6","EPROD0029 - PESQUISA OPERACIONAL PARA ENGENHARIA DE PRODUCAO I",2,50,
"ENG.PRODUCAO 6","EPROD0036 - GESTAO DE PROJETOS",1,50,
"ENG.PRODUCAO 6","EPROD0042 - LABORATORIO DE PROPRIEDADE INTELECTUAL",1,50,
"ENG.PRODUCAO 6","EPROD0044 - ANALISE DE INVESTIMENTOS E DE RISCOS",2,50,
"ENG.PRODUCAO 7","EPROD0006 - LOGISTICA E CADEIA DE SUPRIMENTOS",2,50,
"ENG.PRODUCAO 7","EPROD0019 - ENGENHARIA DE QUALIDADE II",2,50,
"ENG.PRODUCAO 8","ELET0085 - AUTOMAÇÃO INDUSTRIAL",2,50,
"ENG.PRODUCAO 8","EPROD0007 - LABORATORIO DE LOGISTICA",1,50,
"ENG.PRODUCAO 8","EPROD0009 - INSTALACOES INDUSTRIAIS",2,50,
"ENG.PRODUCAO 8","EPROD0026 - ANALISE E GESTAO DE RISCOS E ACIDENTES",2,50,
"ENG.PRODUCAO 8","EPROD0030 - PESQUISA OPERACIONAL P/ ENGENHARIA DE PRODUCAO II",2,50,
"ENG.PRODUCAO 8","EPROD0031 - SIMULACAO DE PROCESSOS PRODUTIVOS",2,50,
"ENG.PRODUCAO 8","EPROD0034 - GESTAO DA INFORMACAO E DO CONHECIMENTO",2,50,
"ENG.CIVIL 1","COMP0100 - INTRODUCAO A CIENCIA DA COMPUTACAO",2,50
"ENG.CIVIL 1","ENCIV0106 - DESENHO GEOMÉTRICO",1,50,
